Country,Total Confirmed Cases/Population,Recovered/Population,Total Deaths/Population,total_tests/Population,Population Density (Square KM),No. of Doctors per thousands,Per capita CO₂ emissions (tonnes per capita),Average precipitation in depth (mm per year) (mm per year),Population ,HDI INDEX,LITERACY RATE,LIFE EXPENTANCY,total expendature on ealth (% of GDP),Median Age,GDP per capita (int.-$) ($),"Age dependency ratio, old (% of working-age population) (% of working-age population)",Unemployment Rate,"Population, female (% of total) (% of total)","Alcohol consumption (litres per capita) (liters of pure alcohol, projected estimates, 15+ years of age)",Urban population/Population,Urban population,Rural population/Population,Rural population,Animal protein (kilocalories per person per day),Plant protein (kilocalories per person per day),Fat (kilocalories per person per day),Carbohydrates (kilocalories per person per day),"DALYs (Disability-Adjusted Life Years) - All causes - Sex: Both - Age: Age-standardized (Rate) (DALYs per 100,000)",Healthcare Expenditure per capita (int.-$) (constant 2011 international $),World Happiness Report 2016 (Cantril Ladder (0=worst; 10=best)),Poor sanitation (deaths),No access to handwashing facility (deaths),Indoor air pollution (deaths),Secondhand smoke (deaths),High blood sugar (deaths),Obesity (deaths),High blood pressure (deaths),Smoking (deaths),Iron deficiency (deaths),Zinc deficiency (deaths),Vitamin-A deficiency (deaths),Air pollution (outdoor & indoor) (deaths),handwashing_facilities,hospital_beds_per_100k,Testing policy (OxBSG),aged_65_older,aged_70_older,extreme_poverty,cvd_death_rate,diabetes_prevalence,Smoker
Belarus,0.868,0.858,0.009,21.413,46.86,4.07,6.48,618,9449000,0.81,100.72,74.79,5.89,40.3,18766,21.62,0.48,53.47,11.2,78.62,7428883,22,2078992,219.84,155.44,1168.56,1706.16,28326.77,9452000,5.23,3.67,13.96,113.6,2429.18,14637.87,19712.97,46340.26,21496.83,1.86,0.4,0.2,8264.97,0,11,3,14.8,9.79,0,443.13,5.18,56.6
Belgium,1.238,1.151,0.087,30.575,375.56,2.97,8.76,847,11590000,0.92,100.72,81.63,10.79,41.8,39733,28.87,7.09,50.69,12.1,96.12,11140192,2,231876,232.48,165.88,1460.88,1873.76,19465.35,11539000,6.89,13.57,51.11,27.48,1429.47,14697.65,8857.48,17324.52,20077.5,1.44,0.19,1.34,4980.12,0,5.64,1,18.57,12.85,0.2,114.9,4.29,56.5
Benin,0.02,0.02,0,1.681,99.11,0.15,0.67,1039,12123000,0.52,39.45,61.77,4.79,18.8,2166,6,2.47,50.12,3,43.11,5226648,49.07,5949044,57,200.72,448.2,1913.08,50235.16,11801000,5.82,4114.53,3904.87,4919.52,560.52,4639.15,3026.95,6007.27,1983.63,367.13,165.81,1809.86,6181.83,11.04,0.5,2,3.24,1.94,49.6,235.85,0.99,12.9
Bolivia,1.182,1.111,0.07,2.674,10.2,0.32,1.89,1146,11673000,0.69,96.14,71.51,6.53,25.4,6118,10.87,3.15,49.94,4.8,65.4,7634445,29.27,3417155,119.04,145,478.26,1513.7,30715.56,11513000,5.92,147.85,330.78,1557.2,569.49,10213.03,6386.12,8929.54,4024.8,118.26,20.43,76,4262.5,25.38,1.1,0,6.7,4.39,7.1,204.3,6.89,0
Bosnia and Herzegovina,0.9,0.872,0.028,7.855,68.5,0.32,7.6,1028,3281000,0.77,99.49,77.4,9.77,42.5,10576,23.91,25.56,50.91,6.4,51.17,1679019,55.71,1827998,121.68,244.88,645.48,2141.96,24302.19,3301000,5.89,1.03,3.07,1278.21,1259.73,9489.58,5023.06,10764.67,8482.65,0.35,0.07,0.57,3371.51,97.16,3.5,2,16.57,10.71,0.2,329.64,10.08,77.9
Brazil,2.366,2.296,0.07,8.421,25.04,0.32,2.27,1761,212559000,0.76,93.59,75.88,8.52,33.5,13479,12.27,13.32,50.85,7.8,84.98,180634620,13.48,28653658,210.36,169.6,1059.75,1823.29,27894.03,211050000,6.19,2231.32,3710.66,12154.33,26728.52,131163.04,165953.84,230453.82,167657.27,524.51,55.25,779.68,66244.64,0,2.2,2,8.55,5.06,3.4,177.96,8.11,28
Brunei,0.033,0.033,0.001,13.871,81.35,1.75,23.86,2722,437000,0.85,97.66,75.86,2.85,32.4,13479,6.34,7.08,48.53,0.4,75.84,331434,22.26,97263,211.8,161.84,743.4,1867.96,25380.98,433000,6.19,0.09,1.13,0.41,34.29,414.83,189.49,305.37,286.4,0.58,0.03,0.08,52.44,0,2.7,2,4.59,2.38,0,201.29,12.79,32.9
Bulgaria,0.335,0.322,0.013,8.088,65.18,4,6.93,608,6948000,0.81,99.39,75.05,8.64,44.7,17953,32.02,6.16,51.39,12.7,76.04,5283572,25.8,1792419,165.2,168.92,847.35,1647.53,26541.73,7000000,5.1,0.72,10.23,1541.41,2703.28,17412.19,18478.25,41273.04,20300.55,1.81,0.63,6.28,7684.42,0,7.45,1,20.8,13.27,1.5,424.69,5.81,74.5
Burkina Faso,0.011,0.01,0,0.014,70.15,0.32,0.17,748,20903000,0.42,38.75,61.58,5.16,17.6,1561,4.6,6.3,50.13,8.2,26.39,5516754,65.43,13676628,44.28,273.24,554.4,1848.08,57810.08,20321000,4.93,8121.42,8171.13,12783.28,2135.68,9530.22,4697.42,11928.22,3335.3,667.18,412.2,3478.07,15212.18,11.88,0.4,1,2.41,1.36,43.7,269.05,2.42,25.5
Cambodia,0.002,0.002,0,0.886,90.67,0.14,0.5,1904,16719000,0.58,79.35,69.82,5.88,25.6,3307,6.86,0.22,51.21,6.7,22,3678035,73.73,12327338,76.44,186.2,323.64,1890.72,36602.31,16487000,5.12,811.2,945.58,8429.45,2384.45,12367.32,3740.57,12145.34,12676.73,130.89,33.71,194.89,10744.17,66.23,0.8,1,4.41,2.39,0,270.89,4,35.7
